k,mu,R,cert,discovery_minus_cert,relative_cert_gap,cert_midpoint,cert_status,log_k,ceiling,headroom,log_k_minus_R,c,weight,rank_num,rank_den,cond,nit,moved_log_c,gate_failed_coords,spread,c_log_k,E_S,sd_S,eta
6200,1,8.51979187,8.5196609655,0.00013090450000063925,1.5364753270743836e-05,8.5196700683,PASS,8.73230457,8.73371323,0.213921,0.212513,0.11701574,1.0,1,1,1.0,63,0.0066,0,1.0,1.02181708128,1.1558597498,0.341696623015,-0.45613488486
6300,1,8.53554637,8.5354133608,0.00013300920000069993,1.5582974332866278e-05,8.5354224348,PASS,8.74830491,8.74969375,0.214147,0.212759,0.11679331,1.0,1,1,1.0,61,0.0065,1,1.0,1.02174348761,1.15575345198,0.341377197585,-0.456250309283
6400,1,8.55105386,8.5509187468,0.00013511319999892635,1.5800765871790023e-05,8.5509277925,PASS,8.76405327,8.76542287,0.214369,0.212999,0.11657521,1.0,1,1,1.0,60,0.0065,0,1.0,1.02167135033,1.15564883804,0.341063623311,-0.456363057806
6500,1,8.56632197,8.5661847588,0.00013721120000020903,1.6017516091589192e-05,8.5661937768,PASS,8.77955746,8.78090836,0.214586,0.213235,0.11636129,1.0,1,1,1.0,60,0.0064,0,1.0,1.0216006312,1.15554587035,0.340755705474,-0.456473267643
6600,1,8.58135798,8.5812186863,0.00013929370000020924,1.6232127866574476e-05,8.5812276772,PASS,8.79482493,8.79615768,0.2148,0.213467,0.11615136,1.0,1,1,1.0,60,0.0064,1,1.0,1.02153087635,1.15544408806,0.340453189318,-0.456579914464
6700,1,8.59616886,8.5960274845,0.00014137550000015153,1.6446338165598986e-05,8.5960364489,PASS,8.80986281,8.81117791,0.215009,0.213694,0.11594538,1.0,1,1,1.0,59,0.0064,0,1.0,1.02146289072,1.15534431066,0.340156038076,-0.456685442178
6800,1,8.61076126,8.6106178063,0.00014345369999979596,1.6659816207678245e-05,8.6106267447,PASS,8.82467789,8.82597583,0.215215,0.213917,0.11574318,1.0,1,1,1.0,61,0.0063,0,1.0,1.0213962816,1.15524613904,0.339864023633,-0.456788975132
6900,1,8.62514153,8.6249960085,0.00014552150000035624,1.6871781117353587e-05,8.6250049214,PASS,8.83927669,8.84055793,0.215416,0.214135,0.1155447,1.0,1,1,1.0,58,0.0063,0,1.0,1.02133157343,1.15515010716,0.339577077796,-0.456892167643
7000,1,8.63931576,8.6391681883,0.00014757170000123665,1.7081410623338142e-05,8.6391770761,PASS,8.85366543,8.85493042,0.215615,0.21435,0.11534959,1.0,1,1,1.0,64,0.0062,0,1.0,1.02126667712,1.15505408833,0.339294705725,-0.456989412781
7100,1,8.65328979,8.653140164,0.00014962600000067994,1.7291227224770884e-05,8.6531490272,PASS,8.86785006,8.86909923,0.215809,0.21456,0.11515794,1.0,1,1,1.0,66,0.0062,0,1.0,1.02120334549,1.15495986632,0.339017056934,-0.457085751723
7200,1,8.66706918,8.6669175113,0.0001516687000009398,1.7499421875035705e-05,8.6669263507,PASS,8.88183631,8.88307006,0.216001,0.214767,0.11496982,1.0,1,1,1.0,51,0.0062,1,1.0,1.02114312126,1.15486901187,0.33874425154,-0.4571856531
7300,1,8.68065931,8.6805056066,0.00015370339999876137,1.770642004365926e-05,8.6805144223,PASS,8.89562963,8.89684837,0.216189,0.21497,0.11478465,1.0,1,1,1.0,65,0.0061,0,1.0,1.02108173328,1.15477717489,0.338475452717,-0.457277399725
7400,1,8.69406529,8.6939095627,0.00015572729999924206,1.7911908273608338e-05,8.6939183553,PASS,8.90923528,8.91043939,0.216374,0.21517,0.11460279,1.0,1,1,1.0,57,0.0061,1,1.0,1.02102321976,1.15468846717,0.338211205309,-0.457372389634
7500,1,8.70729207,8.7071343255,0.0001577444999991684,1.8116367147331537e-05,8.7071430952,PASS,8.9226583,8.92384815,0.216556,0.215366,0.11442382,1.0,1,1,1.0,64,0.0061,0,1.0,1.02096464719,1.1545998998,0.337950905429,-0.457462599797
7600,1,8.72034438,8.7201846184,0.0001597616000008628,1.8320560867673303e-05,8.7201933658,PASS,8.93590353,8.93707946,0.216735,0.215559,0.11424784,1.0,1,1,1.0,63,0.006,0,1.0,1.02090767633,1.15451316352,0.337694714195,-0.457552804413
7700,1,8.73322675,8.7330649938,0.00016175620000069557,1.8521928335445494e-05,8.7330737192,PASS,8.94897561,8.95013796,0.216911,0.215749,0.11407469,1.0,1,1,1.0,58,0.006,0,1.0,1.02085161828,1.15442755533,0.337442408896,-0.457641218945
7800,1,8.74594358,8.7457798273,0.00016375270000068554,1.8723274224538907e-05,8.7457885312,PASS,8.96187901,8.96302812,0.217085,0.215935,0.11390424,1.0,1,1,1.0,59,0.006,0,1.0,1.02079601791,1.15434261005,0.337193810116,-0.457726700247
7900,1,8.75849906,8.7583333197,0.0001657402999999391,1.8923367904082313e-05,8.7583420023,PASS,8.97461804,8.97575421,0.217255,0.216119,0.11373651,1.0,1,1,1.0,61,0.0059,0,1.0,1.02074173428,1.15425920186,0.33694895943,-0.457811776947
8000,1,8.77089724,8.7707295207,0.00016771930000025748,1.9122251168941695e-05,8.7707381825,PASS,8.98719682,8.98832036,0.217423,0.2163,0.11357139,1.0,1,1,1.0,57,0.0059,0,1.0,1.02068843513,1.15417699077,0.336707705806,-0.457895640978
8100,1,8.78314201,8.7829723271,0.000169682900001078,1.9319157063370535e-05,8.7829809684,PASS,8.99961934,9.00073054,0.217589,0.216477,0.1134088,1.0,1,1,1.0,59,0.0059,0,1.0,1.02063602988,1.15409588301,0.336469941911,-0.457978154401
8200,1,8.79523714,8.7950654941,0.00017164590000007252,1.951577851374142e-05,8.7950741152,PASS,9.01188943,9.01298858,0.217751,0.216652,0.11324866,1.0,1,1,1.0,58,0.0058,1,1.0,1.02058440238,1.1540157586,0.336235559821,-0.458059102026
8300,1,8.80718623,8.8070126389,0.0001735910999993706,1.971016570628036e-05,8.8070212402,PASS,9.02401079,9.02509816,0.217912,0.216825,0.11309092,1.0,1,1,1.0,56,0.0058,0,1.0,1.02053368276,1.15393674868,0.336004495549,-0.458138955646
8400,1,8.81899279,8.8188172508,0.00017553919999890866,1.9904676665339315e-05,8.8188258326,PASS,9.03598698,9.03706283,0.21807,0.216994,0.11293549,1.0,1,1,1.0,57,0.0058,1,1.0,1.02048361777,1.15385859337,0.335776625301,-0.4582171056
8500,1,8.83066016,8.8304826923,0.0001774677000003777,2.009676477011858e-05,8.8304912549,PASS,9.04782144,9.04888602,0.218226,0.217161,0.11278233,1.0,1,1,1.0,57,0.0057,1,1.0,1.02043438371,1.15378147085,0.335551898982,-0.458294145598
8600,1,8.84219161,8.8420122139,0.00017939610000006212,2.028864651577734e-05,8.8420207576,PASS,9.05951748,9.06057104,0.218379,0.217326,0.11263134,1.0,1,1,1.0,57,0.0057,0,1.0,1.02038559378,1.15370498482,0.335330176948,-0.458369080342
8700,1,8.85359026,8.8534089447,0.00018131530000076168,2.047929649736938e-05,8.8534174697,PASS,9.0710783,9.07212108,0.218531,0.217488,0.11248254,1.0,1,1,1.0,62,0.0057,0,1.0,1.02033792825,1.15362982765,0.335111497481,-0.458443917324
