k,log_k,delta_log_previous,eta_target,eta_actual,c,c_log_k,E_S,sd_S,R,cert,log_k_minus_R,log_k_minus_cert,discovery_minus_cert,ceiling,headroom_R,headroom_cert,rank,cond,cert_status,grid_type
384,5.950642552587727,0.021053409197832263,-0.4746,-0.4746000000000136,0.1797193480504263,1.0694456000321908,1.1984512138729926,0.418144150596264,5.80658292878711,5.80655665,0.14405962380061688,0.1440859025877268,2.6278787109923485e-05,5.966179478312498,0.15959654952538838,0.1596228283124983,1,1.0,PASS,eta_fixed_geometric
392,5.971261839790462,0.02061928720273561,-0.4746,-0.4746000000000406,0.1790090236219454,1.068909751731872,1.1981082488400157,0.4174215104087626,5.826398297135693,5.8263721273,0.14486354265476908,0.14488971249046223,2.6169835693146126e-05,5.9865336092016905,0.1601353120659974,0.16016148190169055,1,1.0,PASS,eta_fixed_geometric
400,5.991464547107982,0.02020270731751947,-0.4746,-0.4745999999999109,0.17831869698868094,1.0683901510941727,1.1977735422868425,0.41671627114808185,5.845819615128168,5.8457935467,0.1456449319798141,0.1456710004079813,2.6068428167214108e-05,6.006480748980432,0.16066113385226455,0.16068720228043176,1,1.0,PASS,eta_fixed_geometric
409,6.013715156042802,0.022250608934819723,-0.4746,-0.47460000000009084,0.17756477939203674,1.067824005009288,1.1974064262767417,0.4159427439458573,5.867216757137588,5.867190794,0.146498398905214,0.14652436204280228,2.596313758829183e-05,6.028454653974279,0.16123789683669099,0.16126385997427928,1,1.0,PASS,eta_fixed_geometric
418,6.035481432524756,0.021766276481954505,-0.4746,-0.47460000000001523,0.17683366621075977,1.067276309060321,1.1970488380162818,0.4151892920696913,5.888155302604587,5.8881294362,0.14732612992016936,0.14735199632475648,2.586640458712708e-05,6.049955009101554,0.16179970649696696,0.16182557290155408,1,1.0,PASS,eta_fixed_geometric
427,6.056784013228625,0.021302580703868187,-0.4746,-0.47460000000000385,0.176124171422395,1.0667460658143,1.1967003351926155,0.41445498354954474,5.908654570001844,5.9086287921,0.14812944322678057,0.14815522112862478,2.5777901844215023e-05,6.071001816076579,0.16234724607473439,0.1623730239765786,1,1.0,PASS,eta_fixed_geometric
436,6.077642243349034,0.020858230120409788,-0.4746,-0.4746000000000723,0.17543519498771465,1.0662323520275092,1.1963605046557644,0.4137389478629045,5.928732680050671,5.9287069828,0.14890956329836325,0.1489352605490346,2.5697250671363747e-05,6.091613834713055,0.16288115466238384,0.1629068519130552,1,1.0,PASS,eta_fixed_geometric
445,6.09807428216624,0.020432038817205934,-0.4746,-0.47460000000005265,0.17476571494173415,1.0657343116905853,1.1960289599509415,0.413040370735187,5.948406652853295,5.9483810289,0.14966762931294486,0.14969325326624006,2.562395329519518e-05,6.111808683702651,0.16340203084935556,0.16342765480265076,1,1.0,PASS,eta_fixed_geometric
454,6.118097198041348,0.02002291587510773,-0.4746,-0.47460000000009767,0.17411478035942235,1.0652511498545667,1.1957053391041104,0.4123584894733883,5.967692495349488,5.9676669377,0.15040470269186024,0.15043026034134854,2.5557649488305856e-05,6.131602931370358,0.16391043602086963,0.16393599367035794,1,1.0,PASS,eta_fixed_geometric
464,6.139884552226255,0.02178735418490723,-0.4746,-0.47460000000007024,0.1734121947814808,1.0647308559064643,1.1953546415995617,0.4116195566783245,5.98868429775017,5.9886588059,0.15120025447608487,0.15122574632625518,2.5491850170311636e-05,6.153145641971884,0.16446134422171355,0.16448683607188386,1,1.0,PASS,eta_fixed_geometric
474,6.161207321695077,0.021322769468821244,-0.4746,-0.47460000000004293,0.17273028191878884,1.0642270776364966,1.1950128721613071,0.4108994356537916,6.009234946257135,6.0092095124,0.15197237543794184,0.1519978092950769,2.5433857135048754e-05,6.174233129986187,0.16499818372905217,0.16502361758618722,1,1.0,PASS,eta_fixed_geometric
484,6.182084906716632,0.02087758502155518,-0.4746,-0.4745999999999902,0.17206799319617808,1.0637389436671125,1.1946796237518038,0.41019726875644297,6.029362666246049,6.029337283,0.1527222404705828,0.15274762371663186,2.538324604905995e-05,6.194884254349586,0.16552158810353657,0.16554697134958563,1,1.0,PASS,eta_fixed_geometric
494,6.202535517187923,0.02045061047129084,-0.4746,-0.4746000000000713,0.1714243542825193,1.0632656459483314,1.1943545157060782,0.40951225391076485,6.049084574604754,6.0490592349,0.15345094258316916,0.1534762822879232,2.533970475404601e-05,6.215116725133537,0.16603215052878362,0.16605749023353766,1,1.0,PASS,eta_fixed_geometric
504,6.222576268071369,0.02004075088344619,-0.4746,-0.47459999999999813,0.17079845841427918,1.0628064339518681,1.1940371915373873,0.4088436399860684,6.068416767916265,6.0683914651,0.15415950015510393,0.15418480297136838,2.5302816264449746e-05,6.234947195045665,0.16653042712940014,0.1665557299456646,1,1.0,PASS,eta_fixed_geometric
515,6.244166900663736,0.021590632592367452,-0.4746,-0.47460000000001323,0.17012945919638844,1.0623167379419105,1.1936967269840602,0.40812626840298094,6.089250121961009,6.0892248523,0.15491677870272724,0.15494204836373626,2.5269661009019728e-05,6.256315085295378,0.1670649633343686,0.16709023299537762,1,1.0,PASS,eta_fixed_geometric
526,6.26530121273771,0.02113431207397379,-0.4746,-0.47460000000009805,0.16947986106047405,1.0618423790368068,1.1933648603822498,0.4074270130261479,6.109649204086812,6.1096239602,0.15565200865089857,0.1556772525377097,2.5243886811132654e-05,6.277235119809591,0.16758591572277926,0.1676111596095904,1,1.0,PASS,eta_fixed_geometric
537,6.285998094508865,0.02069688177115473,-0.4746,-0.4746000000000285,0.1688486922452102,1.061382557713705,1.1930412025844492,0.40674505390736965,6.129631809657723,6.1296065846,0.156366284851142,0.15639150990886463,2.522505772262207e-05,6.297725702894143,0.16809389323641977,0.1681191182941424,1,1.0,PASS,eta_fixed_geometric
548,6.306275286948016,0.02027719243915088,-0.4746,-0.47459999999996916,0.16823504899961106,1.0609365319047357,1.192725389483167,0.4060796238583641,6.149214660408665,6.1491894475,0.1570606265393506,0.15708583944801546,2.5212908664862255e-05,6.317804126595087,0.1685894661864218,0.16861467909508665,1,1.0,PASS,eta_fixed_geometric
560,6.327936783729195,0.021661496781179467,-0.4746,-0.4746000000000643,0.16758462022857462,1.060464882731685,1.1923894126608034,0.405371708092662,6.170140313878248,6.1701151071,0.15779646985094686,0.15782167662919466,2.5206778247799377e-05,6.339256885310105,0.1691165714318572,0.169141778210105,1,1.0,PASS,eta_fixed_geometric
572,6.349138991379798,0.021202207650602906,-0.4746,-0.47460000000009,0.16695303119293964,1.0600080000761407,1.1920619517483668,0.40468173566862703,6.1906281238485,6.1906029159,0.15851086753129806,0.1585360754797982,2.5207948500138855e-05,6.360258324114263,0.1696302002657637,0.16965540821426384,1,1.0,PASS,eta_fixed_geometric
584,6.369900982828227,0.020761991448429225,-0.4746,-0.47459999999993646,0.16633933818066698,1.0595651137600275,1.1917426197232415,0.40400889111518573,6.2106960960206985,6.2106708802,0.15920488680752864,0.1592301026282268,2.5215820698143432e-05,6.380827056555205,0.1701309605345065,0.17015617635520464,1,1.0,PASS,eta_fixed_geometric
596,6.39024066706535,0.020339684237122783,-0.4746,-0.47460000000004837,0.16574266356833264,1.05913550900209,1.191431054571159,0.40335241165431845,6.2303611460459765,6.2303359158,0.15987952101937353,0.15990475126535042,2.5230245976892718e-05,6.400980567346132,0.17061942130015595,0.17064465154613284,1,1.0,PASS,eta_fixed_geometric
609,6.411818267709897,0.02157760064454737,-0.4746,-0.47460000000008007,0.16511452415530292,1.0586843222431983,1.1911018975999652,0.40265886557086594,6.25122869608585,6.2512034432,0.16058957162404752,0.1606148245098975,2.525288584998009e-05,6.422364021439684,0.17113532535383413,0.1711605782396841,1,1.0,PASS,eta_fixed_geometric
